gene_symbol	log2FoldChange	pvalue	padj	significance
ENSG00000259591	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000259481	-0.342903546824722	0.916654403516215	NA	Not significant
ENSG00000259575	-0.180382797719837	0.956098945071449	NA	Not significant
ENSG00000276473	-0.054456045461085	0.986740556680782	NA	Not significant
ENSG00000259616	0.09563399713934	0.941607717090219	NA	Not significant
ENSG00000259530	-0.713714850229705	0.827570776008327	NA	Not significant
ENSG00000259675	-0.052630423133815	0.973007833826227	NA	Not significant
ENSG00000271195	NA	NA	NA	Not significant
LINC02349	NA	NA	NA	Not significant
ENSG00000259564	NA	NA	NA	Not significant
NPM1P47	-1.04497553711822	0.673995239015625	NA	Not significant
ENSG00000259697	-0.219161445921526	0.94667306094457	NA	Not significant
ENSG00000276713	-0.770195251132535	0.430719534126206	NA	Not significant
ENSG00000260375	1.06997234475471	0.490808444371635	NA	Not significant
ENSG00000261296	-0.991766584078054	0.716187115811682	NA	Not significant
ENSG00000260957	NA	NA	NA	Not significant
MIR8067	1.24669213926351	0.255042178175309	NA	Not significant
MIR6085	NA	NA	NA	Not significant
HMGN1P26	-0.466650168772926	0.886753558172694	NA	Not significant
ENSG00000259458	0.0137716098059698	0.993126412007739	NA	Not significant
ENSG00000259756	-0.303931550283805	0.808997753449118	NA	Not significant
MIR190A	1.45000288441385	0.314669961966559	NA	Not significant
ENSG00000259727	-0.675969612642843	0.732522323999384	NA	Not significant
ENSG00000259394	-0.742476113710118	0.478151370934487	NA	Not significant
ENSG00000259627	-0.0714105189159186	0.95504986014209	NA	Not significant
ENSG00000259268	-0.71167283212524	0.828053537891676	NA	Not significant
ENSG00000259589	-0.32936137510172	0.636437516951468	NA	Not significant
MIR422A	-0.425258507495494	0.896737792745439	NA	Not significant
ENSG00000275785	NA	NA	NA	Not significant
ENSG00000259351	-0.672049208009228	0.78661305026582	NA	Not significant
ENSG00000201071	-0.549000608432912	0.866940003412431	NA	Not significant
ENSG00000252774	-0.354243094974716	0.89328719373249	NA	Not significant
ENSG00000206781	-0.549000608432912	0.866940003412431	NA	Not significant
GAPDHP61	-0.631209429121263	0.511940648729131	NA	Not significant
